INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.00722656,0.091986,0.0894469,0.0953063,445,14
0.00195312,0.00966797,0.115332,0.111328,0.117187,445,158
0.00292969,0.0171875,0.125902,0.120628,0.128441,824,14
0.00390625,0.0186523,0.138838,0.133076,0.141865,824,14
0.00488281,0.0267578,0.142893,0.135471,0.14719,824,694
0.00585938,0.0295898,0.150691,0.144148,0.155867,824,216
0.00683594,0.0351562,0.154631,0.146818,0.161466,824,216
0.0078125,0.0361328,0.162292,0.15448,0.169128,824,216
0.00878906,0.0374023,0.168968,0.161449,0.176097,824,216
0.00976562,0.0397461,0.174001,0.167849,0.179567,824,216
0.0107422,0.0459961,0.174651,0.164006,0.182561,276,534
0.0117188,0.0474609,0.179679,0.169523,0.188078,276,534
0.0126953,0.0541016,0.17918,0.168829,0.18836,276,216
0.0136719,0.0567383,0.182378,0.173687,0.192241,276,5
0.0146484,0.0632812,0.181398,0.172414,0.191945,276,5
0.015625,0.0642578,0.185742,0.176758,0.196289,276,5
0.0166016,0.0707031,0.1844,0.176978,0.19358,694,5
0.0175781,0.0716797,0.188331,0.180909,0.19751,694,5
0.0185547,0.0783203,0.186419,0.178801,0.19638,709,534
0.0195312,0.0797852,0.189519,0.18239,0.200945,709,534
0.0205078,0.0859375,0.187782,0.176064,0.198525,694,534
0.0214844,0.0887695,0.189228,0.178388,0.200849,694,5
0.0224609,0.0956055,0.186542,0.177655,0.19914,824,5
0.0234375,0.096582,0.189597,0.18071,0.202194,824,5
0.0244141,0.104102,0.185998,0.173888,0.198302,276,445
0.0253906,0.105957,0.18796,0.176729,0.201143,276,445
0.0263672,0.107227,0.190411,0.179474,0.203888,276,445
0.0273438,0.10918,0.192088,0.181151,0.206541,824,445
0.0283203,0.116895,0.187918,0.177859,0.205203,824,445
0.0292969,0.119336,0.188941,0.178394,0.207691,824,445
0.0302734,0.127246,0.184418,0.173969,0.204243,276,445
0.03125,0.127734,0.187246,0.176308,0.206582,276,445
0.0322266,0.135449,0.182778,0.167837,0.20397,276,445
0.0332031,0.135254,0.186156,0.174926,0.205199,694,445
0.0341797,0.141992,0.182539,0.17414,0.200507,709,445
0.0351562,0.140332,0.187261,0.176225,0.202593,276,445
0.0361328,0.145508,0.18509,0.174348,0.200715,694,445
0.0371094,0.147852,0.185699,0.172417,0.201714,694,445
0.0380859,0.155078,0.181373,0.167505,0.196802,694,445
0.0390625,0.156348,0.182955,0.16938,0.198677,694,445
0.0400391,0.158984,0.183122,0.170231,0.200505,694,445
0.0410156,0.161914,0.182951,0.172014,0.198381,694,445
0.0419922,0.167187,0.180394,0.1718,0.196214,694,534
0.0429688,0.170117,0.180138,0.169591,0.196935,276,534
0.0439453,0.17207,0.180818,0.171248,0.191756,276,445
0.0449219,0.174707,0.180776,0.172866,0.192397,694,445
0.0458984,0.180957,0.177084,0.168588,0.189096,824,445
0.046875,0.181934,0.178629,0.170133,0.190641,824,445
0.0478516,0.18877,0.17428,0.162854,0.185315,824,445
0.0488281,0.192188,0.173315,0.162377,0.186791,824,445
0.0498047,0.198242,0.169681,0.156985,0.187259,824,445
0.0507812,0.199609,0.170703,0.158398,0.187695,824,445
0.0517578,0.205078,0.167593,0.155874,0.185171,824,445
0.0527344,0.206055,0.168945,0.157227,0.186523,824,445
0.0537109,0.2125,0.164801,0.150738,0.186871,824,445
0.0546875,0.214258,0.165316,0.152035,0.188167,824,445
0.0556641,0.221387,0.160433,0.148421,0.181624,824,445
0.0566406,0.223926,0.160114,0.149665,0.179938,824,445
0.0576172,0.230469,0.155765,0.14307,0.179203,824,445
0.0585938,0.23252,0.155885,0.143287,0.177467,824,445
0.0595703,0.238965,0.151585,0.13762,0.1718,824,445
0.0605469,0.241113,0.151559,0.135837,0.171969,824,445
0.0615234,0.242188,0.152585,0.135983,0.173093,824,445
0.0625,0.242773,0.154077,0.138061,0.174194,824,445
0.0634766,0.242969,0.155938,0.139141,0.175274,824,445
0.0644531,0.24502,0.155922,0.139223,0.175356,824,445
0.0654297,0.245605,0.157351,0.140261,0.178347,824,445
0.0664062,0.246094,0.158858,0.14128,0.185225,824,445
0.0673828,0.252441,0.154485,0.132513,0.182318,824,445
0.0683594,0.255273,0.15361,0.133493,0.182321,824,445
0.0693359,0.260254,0.150567,0.134454,0.176446,824,445
0.0703125,0.258398,0.154342,0.13735,0.177389,824,445
0.0712891,0.258203,0.15644,0.140229,0.177338,824,445
0.0722656,0.258008,0.15852,0.145043,0.181176,14,445
0.0732422,0.262598,0.155798,0.143005,0.176208,14,445
0.0742188,0.263672,0.156575,0.14388,0.17513,14,445
