INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.00390625,0.153125,0.00987105,0.00124013,0.0207714,92,8
0.0078125,0.157031,0.0413939,0.0226439,0.0617064,116,8
0.0117188,0.177344,0.0497963,0.0318276,0.0747963,108,8
0.015625,0.18125,0.06875,0.0507812,0.0976562,108,8
0.0195312,0.205469,0.0638356,0.0349293,0.105242,20,8
0.0234375,0.215234,0.0709442,0.0400848,0.11821,20,8
0.0273438,0.240625,0.0606428,0.023924,0.102049,108,8
0.03125,0.246875,0.0681053,0.0337303,0.0884178,108,75
0.0351562,0.276562,0.0510302,0.0111864,0.0893114,108,8
0.0390625,0.284766,0.0545366,0.0189897,0.0814897,108,92
0.0429688,0.304688,0.0455674,0.0221299,0.0924424,108,92
0.046875,0.312109,0.048453,0.0207186,0.10275,108,92
0.0507812,0.332813,0.0374995,0.0148433,0.0851558,108,92
0.0546875,0.3375,0.0420736,0.0201986,0.0905111,108,92
0.0585938,0.363672,0.0279643,0.00222094,0.0837166,116,92
0.0625,0.379297,0.0228758,0.00231901,0.0687253,238,92
0.0664062,0.382031,0.0234396,0.00129852,0.0729202,108,92
0.0703125,0.38125,0.0314909,0.00258466,0.0807097,108,92
0.0742188,0.377734,0.0428382,0.00162807,0.0843094,8,92
0.078125,0.403906,0.0303726,0.00561899,0.0759315,241,92
0.0820312,0.407422,0.0314051,0.000909581,0.0673158,241,92
0.0859375,0.424219,0.0257362,0.00792521,0.0506685,108,92
0.0898438,0.434375,0.0223887,0.00524402,0.0494435,238,92
0.09375,0.445312,0.0205435,0.0027511,0.0402176,108,92
0.0976562,0.45,0.0194445,0.000433563,0.0386289,108,92
0.101562,0.4625,0.0117188,0.00172014,0.0251576,241,92
0.105469,0.464844,0.0116816,0.000185856,0.0271579,238,92
0.109375,0.46875,0.0147306,0.0016703,0.0329203,238,106
0.113281,0.471875,0.0147407,0.00051542,0.0346408,8,92
0.117188,0.481641,0.0164465,0.00107721,0.0323272,8,92
0.121094,0.490234,0.0149629,0.0013573,0.0298927,8,106
0.125,0.496875,0.0140625,5.55112e-17,0.0351563,116,20
0.128906,0.499609,0.0118276,0.00124875,0.0246863,8,106
0.132812,0.502344,0.0131554,0.00151186,0.0258319,116,106
0.136719,0.500391,0.0180808,0.000464338,0.0346919,238,116
0.140625,0.503906,0.0206063,0.000489706,0.035646,238,75
0.144531,0.510547,0.0199534,0.00135456,0.0404171,8,106
0.148438,0.514844,0.0196761,0.0021342,0.0411967,108,106
0.152344,0.516797,0.0221877,0.00283234,0.0418948,108,106
0.15625,0.528906,0.0186592,0.000453827,0.0395163,8,20
0.160156,0.532422,0.0184142,9.14357e-05,0.0391539,8,106
0.164062,0.540234,0.0146791,0.000564892,0.0396274,108,106
0.167969,0.545312,0.015625,0.00096937,0.0361256,108,75
0.171875,0.553125,0.0179687,0.00130752,0.0416612,108,20
0.175781,0.557422,0.018043,0.00158184,0.0413869,8,20
0.179688,0.561719,0.0152027,0.00179468,0.0408572,8,106
0.183594,0.562109,0.018749,0.00195801,0.0527295,108,106
0.1875,0.567187,0.0172241,0.00186163,0.0450134,108,106
0.191406,0.580469,0.0218219,0.00182046,0.0369767,8,20
0.195312,0.584766,0.0226322,0.00597985,0.0369889,116,74
0.199219,0.602344,0.0257586,0.00200984,0.0487714,92,74
0.203125,0.601172,0.0230697,0.00580242,0.0488851,92,20
0.207031,0.598828,0.0203563,0.00173419,0.0490471,108,20
0.210938,0.600391,0.0196168,0.00238086,0.0453496,116,20
0.214844,0.600781,0.0190042,0.00127123,0.0456038,8,20
0.21875,0.605078,0.0183594,0.000973066,0.0419957,116,20
0.222656,0.611328,0.0183594,0.00453845,0.0579616,238,20
0.226562,0.617188,0.0171875,0.00024987,0.0583439,238,20
0.230469,0.627734,0.0161538,0.000172734,0.0587665,238,20
0.234375,0.63125,0.014697,0.000634481,0.0514157,92,20
0.238281,0.648047,0.0280874,0.00113429,0.0675405,75,20
0.242188,0.653516,0.0306338,0.00223512,0.0680774,75,20
0.246094,0.651563,0.0252327,0.00166224,0.0530253,75,241
0.25,0.652344,0.0233753,0.00496052,0.0536332,75,241
0.253906,0.657422,0.0241972,0.00349412,0.0581816,75,241
0.257812,0.657031,0.0205758,0.000263329,0.0471383,75,241
0.261719,0.658984,0.0193306,0.000971257,0.0478463,75,241
0.265625,0.663672,0.0212906,0.0021954,0.0446796,74,116
0.269531,0.665234,0.0192782,0.00248134,0.0415438,74,116
0.273438,0.667188,0.0182506,0.000624263,0.0423445,74,238
0.277344,0.669922,0.018524,0.00370043,0.0470808,108,20
0.28125,0.664453,0.0156602,0.00106465,0.0518459,92,20
0.285156,0.664844,0.0132806,0.00195157,0.0292953,75,238
0.289062,0.671094,0.0136464,0.00104031,0.0263034,116,238
0.292969,0.674219,0.0148239,9.91057e-05,0.0311509,116,20
0.296875,0.680469,0.0167536,0.00303791,0.0438371,106,20
0.300781,0.679688,0.0148071,0.00186145,0.0252989,108,8
0.304688,0.683203,0.0161809,0.00287967,0.0341297,116,238
0.308594,0.683203,0.0144596,0.00389002,0.02736,116,238
0.3125,0.683203,0.0141051,0.0010831,0.0362393,108,238
0.316406,0.684375,0.0176222,0.00607978,0.0295173,75,238
0.320312,0.685156,0.01875,0.00719329,0.0306308,75,238
0.324219,0.690234,0.0175781,0.00729558,0.0317669,116,20
0.328125,0.695312,0.0175225,0.00558146,0.029019,116,8
