INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.197949,0.0987367,0.0951234,0.101959,694,216
0.00195312,0.200098,0.0750977,0.0722656,0.078125,534,445
0.00292969,0.205176,0.0620865,0.0580826,0.0668717,276,216
0.00390625,0.20625,0.0487599,0.0436817,0.0534474,276,216
0.00488281,0.212207,0.0425559,0.0373801,0.051052,276,14
0.00585938,0.214258,0.0339766,0.0296797,0.0423751,445,14
0.00683594,0.218262,0.0284749,0.0231038,0.033846,534,14
0.0078125,0.219043,0.0206178,0.0154421,0.0261842,534,14
0.00878906,0.219922,0.0135514,0.00749673,0.020192,534,14
0.00976562,0.221973,0.00822566,0.000120194,0.0157452,534,14
0.0107422,0.227344,0.00766227,0.00200948,0.0127517,824,694
0.0117188,0.228418,0.00494475,0.00137555,0.0113198,445,534
0.0126953,0.233984,0.00397614,0.00011649,0.0106257,5,534
0.0136719,0.236328,0.00463093,0.000141415,0.0125539,158,534
0.0146484,0.242285,0.00547881,0.00043796,0.0122574,694,824
0.015625,0.243066,0.00810547,2.77556e-17,0.0166016,276,824
0.0166016,0.248145,0.0086726,0.00119719,0.0187753,694,824
0.0175781,0.249121,0.011817,0.00463796,0.0227058,14,824
0.0185547,0.254102,0.0117912,0.00302022,0.0225515,694,824
0.0195312,0.25498,0.0147599,0.00218004,0.0261403,14,824
0.0205078,0.25918,0.0145403,0.00125901,0.0256731,14,445
0.0214844,0.261523,0.0164741,0.00456001,0.0289741,14,445
0.0224609,0.266309,0.0158387,0.00285046,0.0253114,14,445
0.0234375,0.26709,0.0190887,0.00590512,0.0283661,14,445
0.0244141,0.272461,0.0176384,0.00396649,0.0322868,14,445
0.0253906,0.273926,0.0199911,0.00680746,0.0351278,14,445
0.0263672,0.275,0.0226377,0.0085752,0.0378721,14,445
0.0273438,0.276562,0.0247053,0.0112287,0.0405256,14,445
0.0283203,0.283594,0.0212187,0.00793744,0.040164,14,445
0.0292969,0.285254,0.0230226,0.00847182,0.0426515,14,445
0.0302734,0.291992,0.0196722,0.00307068,0.0401801,14,445
0.03125,0.292871,0.0221092,0.00443339,0.0425193,14,445
0.0322266,0.299512,0.018716,0.00377459,0.0399074,14,445
0.0332031,0.299609,0.0218008,0.00598051,0.0411368,14,445
0.0341797,0.305859,0.0186715,0.00519494,0.0364449,5,445
0.0351562,0.304492,0.0231005,0.00728017,0.0385302,14,445
0.0361328,0.308398,0.0221998,0.00637953,0.0386061,14,445
0.0371094,0.310547,0.0230033,0.00835489,0.0396049,14,445
0.0380859,0.316992,0.0194586,0.00637266,0.034693,5,445
0.0390625,0.317871,0.0214311,0.00824751,0.0365678,5,445
0.0400391,0.320117,0.0219893,0.00714554,0.0383955,5,445
0.0410156,0.322363,0.0225022,0.00209208,0.0362718,5,445
0.0419922,0.32627,0.0213116,0.000901423,0.0370342,5,158
0.0429688,0.328906,0.0213487,0.0016221,0.0367784,5,158
0.0439453,0.330566,0.0223221,0.00327914,0.0384354,5,158
0.0449219,0.332617,0.0228662,0.00489743,0.0361474,5,445
0.0458984,0.337793,0.0202479,0.00550183,0.0328456,5,445
0.046875,0.338672,0.0218905,0.00704677,0.0353671,5,445
