INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.00390625,0.136328,0.021162,0.00514638,0.0324901,20,8
0.0078125,0.142969,0.0554564,0.0421751,0.0734251,20,8
0.0117188,0.164844,0.0622963,0.0474526,0.0826088,108,8
0.015625,0.169141,0.0808594,0.0664062,0.105469,108,8
0.0195312,0.190625,0.0786793,0.0622731,0.109148,108,8
0.0234375,0.198047,0.0881317,0.0713348,0.122116,106,8
0.0273438,0.223828,0.0774397,0.0473615,0.113768,108,8
0.03125,0.231641,0.0833396,0.0532615,0.104043,108,75
0.0351562,0.261719,0.0658739,0.0307177,0.0971239,108,8
0.0390625,0.271875,0.0674272,0.0424272,0.085396,108,92
0.0429688,0.293359,0.0568955,0.0299424,0.0924424,74,92
0.046875,0.303125,0.0574374,0.0324374,0.0988436,74,92
0.0507812,0.325391,0.0449214,0.010937,0.0851558,241,20
0.0546875,0.332813,0.0467611,0.0162924,0.0826986,241,92
0.0585938,0.358594,0.0302545,0.00168531,0.0719978,106,92
0.0625,0.371875,0.0249753,0.00231901,0.0609128,108,92
0.0664062,0.375391,0.0295609,0.0104202,0.0651077,8,92
0.0703125,0.375391,0.0373503,0.0103972,0.0689909,8,92
0.0742188,0.372266,0.0490882,0.00553432,0.0960282,8,116
0.078125,0.398047,0.0365745,0.0134315,0.0876502,20,116
0.0820312,0.404297,0.0376551,0.0147154,0.0907533,8,116
0.0859375,0.421875,0.0257136,0.00379354,0.0701998,20,116
0.0898438,0.432422,0.0222442,0.00647473,0.0533497,20,116
0.09375,0.442578,0.0203839,0.00115515,0.0480301,20,116
0.0976562,0.448047,0.0205297,0.00347269,0.0464414,20,116
0.101562,0.456641,0.0206099,0.0134389,0.0368764,20,106
0.105469,0.462891,0.0221913,0.00762664,0.0388766,92,108
0.109375,0.466406,0.0217619,0.0061422,0.0407328,238,108
0.113281,0.472266,0.0212782,0.00832792,0.0385471,238,108
0.117188,0.48125,0.0176184,0.00107721,0.0323272,20,106
0.121094,0.488281,0.0130098,0.0013573,0.033799,20,106
0.125,0.492969,0.015625,0.00390625,0.0273437,238,106
0.128906,0.496875,0.0143123,0.00124875,0.0285925,238,106
0.132812,0.498828,0.0188383,0.00151186,0.0453631,20,108
0.136719,0.493359,0.0236424,0.000464338,0.0698482,20,116
0.140625,0.496094,0.0239272,0.000489706,0.066896,20,116
0.144531,0.499219,0.0260836,0.00135456,0.0677608,20,116
0.148438,0.505078,0.0247542,0.00177205,0.0568217,241,116
0.152344,0.507422,0.0276565,0.00283234,0.0614261,20,116
0.15625,0.519922,0.0213028,0.000453827,0.0425149,92,116
0.160156,0.521094,0.0258544,9.14357e-05,0.0625914,241,75
0.164062,0.526563,0.0215457,0.000564892,0.0630649,241,75
0.167969,0.532031,0.0203067,0.00096937,0.0634694,74,75
0.171875,0.539453,0.0196636,0.00259873,0.0599013,20,75
0.175781,0.544531,0.0186015,0.00232441,0.0562693,20,75
0.179688,0.547656,0.017842,0.00179468,0.0408572,20,106
0.183594,0.548438,0.0226523,0.00585449,0.0488232,20,106
0.1875,0.552344,0.0219482,0.00595087,0.0489196,20,106
0.191406,0.564844,0.0195843,0.00182046,0.052867,20,75
0.195312,0.572656,0.0215085,0.00183265,0.0528549,20,75
0.199219,0.588672,0.0226449,0.00200984,0.0606036,92,75
0.203125,0.587891,0.0238281,0.00580242,0.0683024,92,75
0.207031,0.585156,0.0237843,0.00564044,0.0681404,238,75
0.210938,0.585547,0.0249145,0.00543164,0.0679316,238,75
0.214844,0.5875,0.0216022,0.00127123,0.0676775,8,75
0.21875,0.589844,0.0208963,0.000973066,0.0634731,8,75
0.222656,0.594922,0.0218637,0.00453845,0.0631322,8,75
0.226562,0.600781,0.0212437,0.00024987,0.0627499,74,75
0.230469,0.609375,0.0210938,0.00407898,0.042796,74,75
0.234375,0.6125,0.0210938,0.00454073,0.0423343,74,108
0.238281,0.628906,0.0223287,0.00277196,0.044103,238,20
0.242188,0.633594,0.0228777,0.00557738,0.0446399,74,241
0.246094,0.634375,0.0185339,0.00224401,0.0452128,238,241
0.25,0.635156,0.0191095,0.00105427,0.0458207,20,241
0.253906,0.639453,0.0174133,0.000412127,0.0464629,20,241
0.257812,0.640625,0.015783,0.000263329,0.0387992,74,75
0.261719,0.641406,0.0152323,0.000971257,0.0380912,20,75
0.265625,0.646484,0.0155765,0.00171085,0.0368671,20,241
0.269531,0.649219,0.0129963,0.00142491,0.0248624,20,75
0.273438,0.65,0.0131564,0.00453051,0.0240618,20,75
0.277344,0.653516,0.0145355,0.000205819,0.0310442,116,108
0.28125,0.650781,0.0189629,0.00106465,0.0340916,92,108
0.285156,0.651172,0.0164066,0.00195157,0.0332047,106,108
0.289062,0.658594,0.0142706,0.00104031,0.0322903,20,108
0.292969,0.663281,0.015625,9.91057e-05,0.0313491,92,108
0.296875,0.671875,0.0164063,0.00303791,0.0360246,108,20
0.300781,0.667969,0.01875,0.00595105,0.0332948,75,74
0.304688,0.671484,0.0175781,0.00493283,0.0322766,108,74
0.308594,0.673828,0.0160156,1.6228e-05,0.0312338,75,74
0.3125,0.673438,0.0169709,0.00282315,0.0418857,20,74
0.316406,0.675,0.0198778,0.00173272,0.052514,20,74
0.320312,0.675391,0.0201696,0.000619209,0.0474942,20,74
0.324219,0.679297,0.0190372,0.000516917,0.0463581,20,74
0.328125,0.682031,0.0204237,0.00613729,0.0451998,20,74
0.332031,0.685937,0.0199517,0.00495728,0.0440198,20,74
0.335938,0.690625,0.0186899,0.00375597,0.035006,20,74
0.339844,0.694531,0.0192568,0.00253377,0.0326225,106,8
0.34375,0.696875,0.0166645,0.00129108,0.0286348,106,74
0.347656,0.695703,0.0207088,0.00387796,0.0390908,20,108
0.351562,0.697656,0.0216242,0.00516048,0.0378083,20,74
0.355469,0.699609,0.0217544,0.00525639,0.0443189,106,108
0.359375,0.707031,0.0140625,2.9245e-05,0.0390917,106,74
0.363281,0.717578,0.0181023,0.00131032,0.0442791,75,241
0.367188,0.725391,0.0204555,0.00123804,0.045637,75,241
0.371094,0.73125,0.0180239,0.000137865,0.0470129,75,241
0.375,0.732812,0.0170188,0.00153146,0.040594,75,241
0.378906,0.735938,0.0175832,0.000963797,0.042005,74,241
0.382812,0.738281,0.0166848,0.000464283,0.0395268,75,241
