INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.000976562,0.198828,0.0996156,0.0951234,0.102936,276,445
0.00195312,0.200977,0.0759766,0.0693359,0.0810547,276,445
0.00292969,0.205469,0.0623795,0.0541763,0.0668717,276,216
0.00390625,0.206445,0.0489552,0.0407521,0.0534474,276,445
0.00488281,0.212891,0.0432395,0.0344505,0.051052,276,14
0.00585938,0.21543,0.0351485,0.0277266,0.0423751,709,14
0.00683594,0.22002,0.0302327,0.0240804,0.0387288,709,694
0.0078125,0.220508,0.0220827,0.0154421,0.0300905,709,694
0.00878906,0.221289,0.0149186,0.00749673,0.0221452,709,694
0.00976562,0.223438,0.00969051,0.00109676,0.0186749,534,694
0.0107422,0.228906,0.00902946,0.00200948,0.0195876,709,694
0.0117188,0.229883,0.00554855,0.000577574,0.0140709,824,694
0.0126953,0.236328,0.00590597,0.00011649,0.0157415,709,694
0.0136719,0.238574,0.00598531,0.000141415,0.0135305,158,534
0.0146484,0.244336,0.00683594,0.00141452,0.0141098,445,14
0.015625,0.24502,0.00849609,0.00195312,0.0166016,216,534
0.0166016,0.249609,0.0100933,0.00315032,0.0168222,216,534
0.0175781,0.250293,0.0127446,0.00659108,0.0217292,694,534
0.0185547,0.255566,0.0128473,0.00594991,0.023528,216,824
0.0195312,0.256445,0.0150982,0.00510973,0.0271168,694,824
0.0205078,0.26084,0.0149156,0.0036238,0.0305559,14,824
0.0214844,0.262988,0.0159196,0.000322801,0.0309272,14,824
0.0224609,0.268359,0.0157728,0.00398547,0.026288,694,534
0.0234375,0.269238,0.0177032,0.000930814,0.0293426,694,534
0.0244141,0.274512,0.0165521,0.0010368,0.0283806,694,824
0.0253906,0.276367,0.0181413,0.00192465,0.030245,694,534
0.0263672,0.277539,0.0203367,0.00119043,0.0320127,14,824
0.0273438,0.279395,0.0218733,0.0014631,0.0346662,14,534
0.0283203,0.286133,0.0190453,0.00182819,0.0333281,14,445
0.0292969,0.287695,0.02084,0.0012938,0.0367921,14,445
0.0302734,0.294727,0.0182769,0.000140997,0.0343207,694,445
0.03125,0.295605,0.0204412,0.00248026,0.0366599,694,445
0.0322266,0.302637,0.0185733,0.00599104,0.034048,694,445
0.0332031,0.302734,0.0205805,0.00280855,0.0362539,694,445
0.0341797,0.308984,0.0173748,0.00261756,0.0315621,694,445
0.0351562,0.307324,0.0212626,0.000532326,0.0336474,694,445
0.0361328,0.311426,0.0202403,0.000520155,0.0327467,694,445
0.0371094,0.313477,0.0210286,0.00141073,0.0337455,694,445
0.0380859,0.319629,0.018765,0.00339296,0.0298102,14,824
0.0390625,0.320703,0.0197923,0.00151811,0.0307085,14,445
0.0400391,0.323145,0.0196813,0.000309605,0.0325362,14,445
0.0410156,0.325391,0.0198099,0.000837603,0.0333421,14,824
0.0419922,0.328711,0.0200721,0.0010517,0.0350811,694,534
